Decimal,Hex,Instruction
0,0,NOP
1,1,LW
2,2,SW
3,3,ADD
4,4,ADDI
5,5,ADDU
6,6,ADDUI
7,7,SUB
8,8,SUBI
9,9,SUBU
10,A,SUBUI
11,B,AND
12,C,ANDI
13,D,OR
14,E,ORI
15,F,XOR
16,10,XORI
17,11,SLL
18,12,SLLI
19,13,SRL
20,14,SRLI
21,15,SRA
22,16,SRAI
23,17,SLT
24,18,SLTI
25,19,SLTU
26,1A,SLTUI
27,1B,SGT
28,1C,SGTI
29,1D,SGTU
30,1E,SGTUI
31,1F,SLE
32,20,SLEI
33,21,SLEU
34,22,SLEUI
35,23,SGE
36,24,SGEI
37,25,SGEU
38,26,SGEUI
39,27,SEQ
40,28,SEQI
41,29,SNE
42,2A,SNEI
43,2B,BEQZ
44,2C,BNEZ
45,2D,J
46,2E,JR
47,2F,JAL
48,30,JALR
